filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,label
sample0.wav,0.336944044,0.04384711,1167.667444,1516.700308,2845.223999,0.046504268,-264.5993652,163.7631989,-27.78826714,70.84601593,-31.1241684,17.18265343,-4.86907959,7.199841499,14.54823399,0.510726631,HumpbackWhaleBermuda
sample1.wav,0.342778534,0.044599958,1155.431443,1522.396056,2836.849976,0.042017054,-263.068634,164.805954,-28.41576767,73.28781128,-28.56557846,20.29248238,-2.523831606,8.181794167,12.07013512,-3.269056082,HumpbackWhaleBermuda
sample10.wav,0.336108744,0.099228293,1227.288411,1005.076978,2261.135864,0.097023293,-218.684082,180.8608398,-77.88238525,22.32255554,35.61358261,-7.621019363,10.66823578,4.064531326,-1.635422587,11.3955698,HumpbackWhaleBermuda
sample100.wav,0.383029759,0.067442767,559.1744202,810.5409387,956.1838786,0.027915672,-293.2609863,205.9243011,7.703418255,24.6916008,5.263326168,7.770885944,7.553836823,-0.598703504,10.56639767,1.401368022,HumpbackWhaleBermuda
sample101.wav,0.326209545,0.092387885,1066.123053,1004.51844,2139.014689,0.066173412,-227.2034912,185.6365814,-64.95372009,23.23706436,33.96224594,-7.05977726,13.09811211,2.119006157,-5.992105961,8.344513893,HumpbackWhaleBermuda
sample102.wav,0.357800603,0.0502716,1267.360184,1350.110811,2654.366048,0.079890498,-249.1134644,162.9263916,-46.4169693,51.05591583,-5.485091209,9.704956055,-0.882632375,4.768659592,11.91210938,3.27289319,HumpbackWhaleBermuda
sample103.wav,0.355691284,0.044566616,1155.208086,1522.464305,2838.993327,0.042295103,-263.2404175,164.9633942,-28.55712509,73.50868225,-28.70066261,20.39260292,-2.577211618,8.23997879,12.11680794,-3.25127387,HumpbackWhaleBermuda
sample104.wav,0.362626582,0.047220416,1138.864113,1491.654436,2717.769368,0.043816461,-259.3831482,163.3919525,-25.92426682,68.75930786,-27.75355721,17.88406754,-1.15214169,9.106816292,14.93958282,-1.646778584,HumpbackWhaleBermuda
sample105.wav,0.352465928,0.054134872,1060.26382,1471.666093,2565.940348,0.036946615,-260.3503418,161.0875244,-19.72315788,71.60595703,-21.0910511,19.89253807,0.053001758,5.477602482,9.857692719,-6.860625267,HumpbackWhaleBermuda
sample106.wav,0.312359601,0.050857134,1119.354612,1207.429562,2249.222819,0.065140336,-266.4171143,171.9902496,-51.11323547,47.1854248,9.829034805,16.01286507,-0.966990352,-2.38158536,2.429536581,-5.106243134,HumpbackWhaleBermuda
sample107.wav,0.392186761,0.052987218,1169.120651,1091.892613,2360.427856,0.072805899,-274.1094055,181.2200317,-78.76808167,38.33960342,35.06916428,7.693314552,6.858232498,9.481531143,0.009241439,-1.00010848,HumpbackWhaleBermuda
sample108.wav,0.391675174,0.051166728,1159.940868,1039.244339,2185.819499,0.076015896,-270.1290894,185.8088074,-81.80726624,30.97190094,32.5104332,9.928376198,3.144334555,4.042042732,4.105166912,3.105098248,HumpbackWhaleBermuda
sample109.wav,0.411010742,0.053294875,1043.462822,1075.961474,2153.66923,0.058333785,-278.1433411,180.2207794,-70.70498657,37.76243973,34.75883865,13.24500561,9.143820763,4.428962708,1.04069519,0.49298054,HumpbackWhaleBermuda
sample11.wav,0.318703651,0.074329369,926.4770281,900.7538815,1694.493612,0.061383283,-261.5962219,204.3151703,-48.406147,21.99896622,17.55949593,-1.589838386,0.924827039,-0.664266527,6.043805122,8.6852808,HumpbackWhaleBermuda
sample110.wav,0.33553347,0.08585114,1255.386353,1023.464102,2311.579386,0.09040663,-220.9094391,176.6019897,-80.25245667,19.93765068,41.63642883,-0.966913283,9.802447319,2.227374792,-4.884534359,1.015314698,HumpbackWhaleBermuda
sample111.wav,0.374893457,0.068305023,1120.859244,1060.916449,2269.609578,0.065709997,-242.8374634,187.6431274,-77.76983643,33.875,30.64131927,1.853042841,14.64420795,2.77371788,-4.864834309,5.601778984,HumpbackWhaleBermuda
sample112.wav,0.336073041,0.099370673,1227.697027,1006.125611,2259.790039,0.09705042,-218.3753662,180.6729889,-77.51199341,21.98622704,35.75278091,-7.790188313,10.739604,4.145739079,-1.769784451,11.41863537,HumpbackWhaleBermuda
sample113.wav,0.318627536,0.074253596,929.6767137,905.4800773,1699.627686,0.061319987,-261.5556335,204.2224426,-48.71393204,21.99926376,17.5538311,-1.541574836,0.902683675,-0.627217352,5.945440769,8.636275291,HumpbackWhaleBermuda
sample114.wav,0.353819013,0.063978285,570.6162299,793.2406178,873.739624,0.032339591,-297.6386414,212.2831726,9.377101898,21.79116249,-7.147373676,4.443067551,1.004242659,-1.466392279,15.98833752,4.108570099,HumpbackWhaleBermuda
sample115.wav,0.373582214,0.064796016,550.7306765,795.3567895,866.0135905,0.028141728,-302.757782,216.9162292,4.715561867,29.14097595,-7.786616802,10.23815727,0.995655715,-0.58685708,14.56021118,1.273606777,HumpbackWhaleBermuda
sample116.wav,0.373035461,0.082637154,551.9928343,754.2987197,850.2624512,0.033327456,-290.2179565,212.745285,12.40121555,19.49063301,-4.41991663,6.104894638,4.788662434,0.440122247,15.59143734,2.158381701,HumpbackWhaleBermuda
sample117.wav,0.339871317,0.080325559,518.9931234,769.306125,826.2868245,0.026728877,-293.8468628,207.0391998,17.00801659,21.12293816,1.090699553,8.257171631,6.278036118,-1.636585832,12.73844719,0.78965956,HumpbackWhaleBermuda
sample118.wav,0.353012383,0.060595784,919.5968129,956.7718246,1787.654622,0.057325575,-266.0483093,205.5566406,-52.93710709,35.45119476,17.42636299,3.403145075,9.075540543,1.863047719,-0.030997382,2.592563868,HumpbackWhaleBermuda
sample119.wav,0.375158578,0.095824346,1230.164544,1016.430805,2277.584839,0.094613534,-222.0545807,178.3808899,-77.56678009,22.60330772,36.51138687,-7.151197433,10.7186451,4.558765888,-1.134830594,11.74426746,HumpbackWhaleBermuda
sample12.wav,0.355015188,0.063837394,570.3400778,793.43592,874.2380778,0.032203957,-297.5032959,212.1029358,9.525753021,21.66388702,-7.056548595,4.39990139,1.082676649,-1.396637797,15.94115162,4.106986523,HumpbackWhaleBermuda
sample13.wav,0.37363562,0.064815588,552.6821056,798.934303,868.9544678,0.028053566,-302.8068542,216.8774109,4.553173542,29.29136086,-7.94672966,10.37219715,0.884219468,-0.506521463,14.57601738,1.307180285,HumpbackWhaleBermuda
sample14.wav,0.373465091,0.082713477,549.6003315,746.9797103,849.2156982,0.033338759,-290.2078552,212.8308716,12.39200211,19.49357033,-4.448313236,6.07627058,4.869238853,0.388556302,15.66299629,2.100763321,HumpbackWhaleBermuda
sample15.wav,0.341024578,0.080347776,516.9059374,763.5141614,823.844401,0.026704011,-293.8112488,206.960907,17.1423645,21.04273605,1.125297785,8.170465469,6.285663128,-1.644310117,12.75156975,0.82634598,HumpbackWhaleBermuda
sample16.wav,0.35297215,0.06064716,920.8964786,956.8555188,1789.149984,0.057379829,-266.0107727,205.7821503,-53.34542465,35.5950737,17.27058411,3.47265172,9.012992859,1.934403777,-0.009109215,2.592879772,HumpbackWhaleBermuda
sample17.wav,0.34558785,0.085197002,1198.084025,1148.501499,2362.072754,0.08154975,-229.6964874,169.1215973,-58.63446808,31.03275299,22.70067978,-1.266018629,5.596033573,1.354347825,2.212660551,6.945480347,HumpbackWhaleBermuda
sample18.wav,0.334252477,0.046704371,1151.260755,1494.439707,2759.689331,0.045520924,-262.2752686,166.7561798,-29.07401466,71.29823303,-32.07592773,17.41978645,-4.221711636,8.668996811,14.75485802,0.051720232,HumpbackWhaleBermuda
sample19.wav,0.366761267,0.043563917,1157.23051,1534.425361,2882.907104,0.040699146,-265.6185303,165.8908844,-30.35619164,76.74531555,-28.3438015,22.88789177,-3.537749052,8.019505501,11.63901901,-3.616508007,HumpbackWhaleBermuda
sample2.wav,0.376555443,0.047170885,1138.913557,1491.084236,2719.364421,0.044004087,-259.4062805,163.3615417,-25.90653419,68.68118286,-27.82990456,17.80036163,-1.138764501,9.094225883,15.00145149,-1.665077329,HumpbackWhaleBermuda
sample20.wav,0.37953046,0.052216742,1087.690647,1461.896904,2566.588338,0.041849772,-258.2051086,162.3079071,-22.03877831,67.82691956,-24.6537571,18.43643761,1.295295596,8.636976242,13.63479042,-4.472539902,HumpbackWhaleBermuda
sample21.wav,0.289294392,0.053723987,1048.969609,1384.450583,2388.092041,0.043095341,-263.0878906,163.7809448,-27.28746605,63.52198029,-10.78873444,19.78554726,-1.27889204,0.996909261,7.713329315,-6.029040337,HumpbackWhaleBermuda
sample22.wav,0.389545381,0.056164406,1166.969659,1080.95836,2314.121501,0.077060276,-273.3580627,181.4076996,-77.40425873,40.00158691,35.8094101,9.32422924,5.680357933,6.572289944,-1.662645817,-3.043080091,HumpbackWhaleBermuda
sample23.wav,0.379663169,0.048298668,1127.882573,1042.082752,2180.137126,0.067620171,-271.4475403,186.8807983,-79.58023071,27.19001579,28.48457909,8.140529633,3.239528179,3.527659893,2.38664031,2.746879339,HumpbackWhaleBermuda
